You are going to Northampton,Amherst,False,Noho,True,False,Sarah,0,0,0.75,0,0
You are going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,0,0.75,0,0
You are going to Northampton,Amherst,True,Amherst,False,False,Jane,0,0,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,True,False,Jane,0,0,0.75,0,0
You are going to Northampton,Amherst,False,Noho,False,True,Jane,0.1604106504123035,0,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,False,True,Sarah,0.3395893495876965,0,0.75,0,0
You are going to Northampton,Noho,True,Amherst,False,False,Sarah,0,0,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,False,True,Jane,0.1604106504123035,0,0.75,0,0
You are going to Northampton,Amherst,False,Noho,False,True,Sarah,0.3395893495876965,0,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,0,0.75,0,0
You are going to Northampton,Noho,False,Amherst,True,False,Sarah,0,0,0.75,0,0
You are going to Northampton,Noho,False,Noho,True,False,Jane,0,0,0.75,0,0
You are going to Northampton,Noho,True,Amherst,False,False,Jane,0,0,0.75,0,0
You are going to Northampton,Noho,False,Noho,True,False,Sarah,0,0,0.75,0,0
You are going to Northampton,Noho,False,Amherst,True,False,Jane,0,0,0.75,0,0
You are going to Northampton,Amherst,False,Noho,True,False,Jane,0,0,0.75,0,0
I am going to Northampton,Amherst,False,Noho,False,True,Sarah,0,0,0.75,0,0
I am going to Northampton,Amherst,False,Noho,False,True,Jane,0,0,0.75,0,0
I am going to Northampton,Amherst,True,Amherst,False,False,Sarah,0.3395893495876965,0,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,0,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,True,False,Jane,0,0,0.75,0,0
I am going to Northampton,Amherst,False,Noho,True,False,Sarah,0,0,0.75,0,0
I am going to Northampton,Amherst,True,Amherst,False,False,Jane,0.1604106504123035,0,0.75,0,0
I am going to Northampton,Noho,True,Amherst,False,False,Sarah,0.3395893495876965,0,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,False,True,Jane,0,0,0.75,0,0
I am going to Northampton,Amherst,False,Noho,True,False,Jane,0,0,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,0,0.75,0,0
I am going to Northampton,Noho,False,Amherst,True,False,Sarah,0,0,0.75,0,0
I am going to Northampton,Noho,False,Noho,True,False,Jane,0,0,0.75,0,0
I am going to Northampton,Noho,False,Noho,True,False,Sarah,0,0,0.75,0,0
I am going to Northampton,Noho,False,Amherst,True,False,Jane,0,0,0.75,0,0
I am going to Northampton,Noho,True,Amherst,False,False,Jane,0.1604106504123035,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Jane,0,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,0,0.75,0,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,0,0.75,0,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Jane,0.08020532520615178,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0.1697946747938483,0,0.75,0,0
Eliza is going to Northampton,Noho,False,Noho,True,False,Jane,0.08020532520615178,0,0.75,0,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0,0,0.75,0,0
Eliza is going to Northampton,Noho,False,Noho,True,False,Sarah,0.1697946747938483,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.08020532520615178,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Sarah,0.1697946747938483,0,0.75,0,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.1697946747938483,0,0.75,0,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0,0,0.75,0,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0.08020532520615178,0,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Jane,0,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,0,0.75,0,0
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,0,0.75,0,0
Eliza is coming to Northampton,Noho,False,Noho,True,False,Jane,0.1604106504123035,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.3395893495876965,0,0.75,0,0
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,0,0.75,0,0
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,0,0.75,0,0
Eliza is coming to Northampton,Noho,False,Noho,True,False,Sarah,0.3395893495876965,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Jane,0,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,0,0.75,0,0
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,0,0.75,0,0
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Jane,0,0,0.75,0,0
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Jane,0.1604106504123035,0,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,0,0.75,0,0
